state,x,y
Alabama,139,-77
Alaska,-204,-170
Arizona,-208,-40
Arkansas,57,-53
California,-305,13
Colorado,-112,20
Connecticut,297,96
Delaware,275,42
Florida,220,-145
Georgia,182,-85
Hawaii,-317,-143
Idaho,-216,122
Illinois,87,37
Indiana,128,39
Iowa,38,65
Kansas,-17,5
Kentucky,146,-2
Louisiana,59,-128
Maine,319,160
Maryland,283,27
Massachusetts,312,110
Michigan,138,101
Minnesota,23,135
Mississippi,89,-83
Missouri,45,6
Montana,-141,150
Nebraska,-61,66
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-138,-43
New York,236,104
North Carolina,220,-22
North Dakota,-59,158
Ohio,173,48
Oklahoma,-17,-41
Oregon,-278,138
Pennsylvania,215,68
Rhode Island,318,80
South Carolina,213,-55
South Dakota,-59,109
Tennessee,125,-34
Texas,-38,-106
Utah,-189,34
Vermont,272,148
Virginia,230,5
Washington,-305,193
West Virginia,200,20
Wisconsin,73,113
Wyoming,-134,90
